name,exp,variant,workload,rc,insts,cycles,cpi,ipc,sim_ms,host_s,l1d_acc,l1d_miss,l1d_mr,l1d_mshr_miss,l1d_miss_lat_cyc,l1d_hit_lat,l1d_amat,l1d_mpki,l1d_repl,l1d_wb,l1i_acc,l1i_miss,l1i_mr,l2_acc,l2_miss,l2_mr,l2_miss_lat_cyc,l2_mpki,victim_hits,victim_miss,dram_rd,dram_wr,dram_bytes,dram_lat_cyc,dtlb_acc,dtlb_miss,dtlb_mr,dtlb_mpki,itlb_acc,itlb_miss,page_faults,penalty_cyc,penalty_frac,pf_issued,pf_useful,pf_accuracy,program_output
tlblat_60c_stream,tlblat,60c,stream,0,6820444,47434001,6.954679343456233,0.14378808146502337,23.717,3.96,1574368,196674,0.12492250858757292,196674,156.446057944,2.0,21.54363401700127,28.835952615401578,195650,65556,6822833,112,1.6e-05,196786,196786,1.0,151.44541278399998,28.852373833726954,0,0,196786,65556,16789888,49.93096,1575396,4111,0.002609502626641175,0.6027466833537524,6822833,4,1026,246900,0.005205127014269785,0,0,0.0,stream: words=524288 passes=2 checksum=8dd97a8432780000
victim_2way+v8_chase,victim,2way+v8,chase,0,3160920,27456050,8.686094554749882,0.1151265385953187,13.728,3.49,632806,518453,0.8192921685319039,518453,35.665296563999995,2.0,31.220298163253016,164.01965250623238,517424,517424,4359367,114,2.6e-05,518559,17578,0.033897782123152816,187.959836158,5.561039191121572,3,518445,17578,0,1124992,84.7446,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
victim_2way+v8_matmul,victim,2way+v8,matmul,0,6862544,24979950,3.6400422350661796,0.2747220871138653,12.49,3.99,1881623,119773,0.06365409011263148,119773,32.510540772,2.0,4.069428891911268,17.45314856997638,118743,118743,8772200,117,1.3e-05,111889,3632,0.03246074234285765,159.80203744399998,0.5292497942453994,7995,111772,3632,0,232448,57.27492,1881687,120,6.37725615365361e-05,0.017486226682116718,8772200,5,58,0,0.0,0,0,0.0,matmul: n=96 block=0 checksum=219826053362
victim_2way+v8_stride,victim,2way+v8,stride,0,8766024,33008526,3.765507144402069,0.26556847767149616,16.504,5.95,1863851,1604175,0.8606777043873142,1604175,6.405085479999999,2.0,7.512714267330918,182.99915674426626,1603145,1603145,11098754,112,1e-05,4279,4264,0.9964945080626314,152.226547842,0.4864234914255311,1600002,4167,4264,0,272896,49.71694,1863919,142,7.618356806277526e-05,0.016198906140343673,11098754,4,66,0,0.0,0,0,0.0,stride: stride=32768 lines=8 iters=200000 checksum=1605600000
victim_2way_chase,victim,2way,chase,0,3160920,25343157,8.017652139250599,0.12472479257418481,12.671999999999999,2.99,632806,518448,0.8192842672161769,518448,31.590705336,2.0,27.88176787204693,164.01807068828063,517424,517411,4359367,114,2.6e-05,518562,17578,0.033897586016715456,186.73665946,5.561039191121572,0,0,17578,0,1124992,84.51386,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
victim_2way_matmul,victim,2way,matmul,0,6862544,24657977,3.5931247945368363,0.2783092870919622,12.328999999999999,4.02,1881623,119767,0.06365090137609924,119767,29.821912546,2.0,3.8981916143121027,17.452274258642277,118743,118729,8772200,117,1.3e-05,119884,3632,0.030295952754329183,151.107929516,0.5292497942453994,0,0,3632,0,232448,49.555339999999994,1881687,120,6.37725615365361e-05,0.017486226682116718,8772200,5,58,0,0.0,0,0,0.0,matmul: n=96 block=0 checksum=219826053362
victim_2way_stride,victim,2way,stride,0,8766024,64970069,7.411577814525719,0.13492403709775957,32.485,6.87,1863851,1604169,0.86067448524587,1604169,26.32858134,2.0,24.660338192058518,182.99847228344345,1603145,1603132,11098754,112,1e-05,1604281,4264,0.0026578884871166584,148.136726078,0.4864234914255311,0,0,4264,0,272896,46.60518,1863919,142,7.618356806277526e-05,0.016198906140343673,11098754,4,66,0,0.0,0,0,0.0,stride: stride=32768 lines=8 iters=200000 checksum=1605600000
victim_8way_chase,victim,8way,chase,0,3160920,25343157,8.017652139250599,0.12472479257418481,12.671999999999999,2.95,632806,518438,0.8192684645847227,518438,31.591276102,2.0,27.88173626635758,164.01490705237717,517414,517401,4359367,114,2.6e-05,518552,17578,0.0338982397136642,186.75031289199998,5.561039191121572,0,0,17578,0,1124992,84.52748,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
victim_8way_matmul,victim,8way,matmul,0,6862544,24461481,3.564491681219093,0.2805449105882019,12.231,3.83,1881623,111611,0.059316345516609865,111611,30.099622798,2.0,3.7853996258057956,16.263793718481075,110587,110573,8772200,117,1.3e-05,111728,3632,0.0325075182586281,151.052312776,0.5292497942453994,0,0,3632,0,232448,49.5,1881687,120,6.37725615365361e-05,0.017486226682116718,8772200,5,58,0,0.0,0,0,0.0,matmul: n=96 block=0 checksum=219826053362
victim_8way_stride,victim,8way,stride,0,8766024,26570117,3.0310340240911957,0.3299204139748425,13.285,4.43,1863851,4169,0.002236766780177171,4169,152.439913648,2.0,2.340972534820923,0.4755861950640336,3145,3132,11098754,112,1e-05,4281,4264,0.9960289651950479,148.147983114,0.4864234914255311,0,0,4264,0,272896,46.61632,1863919,142,7.618356806277526e-05,0.016198906140343673,11098754,4,66,0,0.0,0,0,0.0,stride: stride=32768 lines=8 iters=200000 checksum=1605600000
victim_dm+v16_chase,victim,dm+v16,chase,0,3160920,27456050,8.686094554749882,0.1151265385953187,13.728,3.65,632806,518463,0.8193079711633581,518463,35.664647236,2.0,31.220329769184026,164.02281614213584,517434,517434,4359367,114,2.6e-05,518555,17578,0.03389804360193229,187.96302196000002,5.561039191121572,17,518441,17578,0,1124992,84.74746,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
victim_dm+v16_matmul,victim,dm+v16,matmul,0,6862544,24998026,3.642676243678729,0.27452343637053583,12.499,4.21,1881623,122560,0.06513525823185622,122560,31.962002283999997,2.0,4.081853272375518,17.85926618466854,121530,121530,8772200,117,1.3e-05,112190,3632,0.03237365184062751,159.720539648,0.5292497942453994,10481,112073,3632,0,232448,57.1937,1881687,120,6.37725615365361e-05,0.017486226682116718,8772200,5,58,0,0.0,0,0,0.0,matmul: n=96 block=0 checksum=219826053362
victim_dm+v16_stride,victim,dm+v16,stride,0,8766024,33008526,3.765507144402069,0.26556847767149616,16.504,6.63,1863851,1604175,0.8606777043873142,1604175,6.405085479999999,2.0,7.512714267330918,182.99915674426626,1603145,1603145,11098754,112,1e-05,4279,4264,0.9964945080626314,152.226547842,0.4864234914255311,1600002,4167,4264,0,272896,49.71694,1863919,142,7.618356806277526e-05,0.016198906140343673,11098754,4,66,0,0.0,0,0,0.0,stride: stride=32768 lines=8 iters=200000 checksum=1605600000
victim_dm+v4_chase,victim,dm+v4,chase,0,3160920,27456050,8.686094554749882,0.1151265385953187,13.728,3.57,632806,518463,0.8193079711633581,518463,35.664647236,2.0,31.220329769184026,164.02281614213584,517434,517434,4359367,114,2.6e-05,518555,17578,0.03389804360193229,187.96302196000002,5.561039191121572,17,518441,17578,0,1124992,84.74746,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
victim_dm+v4_matmul,victim,dm+v4,matmul,0,6862544,25002024,3.643258826464355,0.2744795381365925,12.501,4.16,1881623,122560,0.06513525823185622,122560,31.998033616,2.0,4.084200182489775,17.85926618466854,121530,121530,8772200,117,1.3e-05,112374,3632,0.03232064356523751,159.605451542,0.5292497942453994,10297,112257,3632,0,232448,57.07888,1881687,120,6.37725615365361e-05,0.017486226682116718,8772200,5,58,0,0.0,0,0,0.0,matmul: n=96 block=0 checksum=219826053362
